"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió",Seguimientos,Comentarios,"Veces que se guardó"
18105750337707676,17841468818390769,revista_kairos,"Kairós: Política & Sociedad | Semillero de investigación","Cuando una estética deja de ser elección y se convierte en norma.

Esta columna analiza el minimalismo contemporáneo como fenómeno cultural y político, y sus efectos en la homogeneización, la violencia simbólica y la desvalorización de las identidades locales.

Columna de Gabriela Teherán Martínez.

🔗 Texto completo en el enlace de la bio.
🌎 https://kairospoliticaysociedad.com/polifonias/

#pantone #estéticaycultura #identidadcultural #minimalismo #pensamientocrítico",0,"01/14/2026 11:05",https://www.instagram.com/p/DTgI8cnjsaz/,"Imagen de Instagram",,Total,1439,617,39,10,3,0,2
18165059155398972,17841468818390769,revista_kairos,"Kairós: Política & Sociedad | Semillero de investigación","¿Y si la captura de un jefe de Estado no fuera justicia, sino la normalización del intervencionismo?

Bajo el discurso de la democracia y la lucha contra el crimen, la intervención de Estados Unidos en Venezuela reactualiza una lógica histórica de coerción y tutela sobre América Latina. Una lectura crítica desde la colonialidad del poder que cuestiona quién decide, con qué legitimidad y a qué costo.

Columna de María Paula Espinosa Cáceres.

🔗 Columna completa en la bio.
🌎 https://kairospoliticaysociedad.com/polifonias/

#intervencionismo #colonialismo #imperialismo #derechointernacional #venezuela",0,"01/10/2026 11:05",https://www.instagram.com/p/DTV1w4jDPzL/,"Imagen de Instagram",,Total,1370,499,37,5,2,0,2
18095406269091334,17841468818390769,revista_kairos,"Kairós: Política & Sociedad | Semillero de investigación","Los Archivos Epstein no revelan solo un caso criminal: exponen una estructura.

Más de tres millones de páginas no hablan únicamente de un individuo, sino de un sistema donde la crueldad se administra, se normaliza y se protege bajo el privilegio.

Este carrusel propone una lectura distinta: entender el caso como una expresión de la modernidad misma, donde la burocracia diluye la responsabilidad, el poder deshumaniza y la violencia se vuelve técnica.

Cuando el abuso se integra a redes globales de capital, política y consumo, deja de parecer una anomalía y se convierte en parte del funcionamiento del sistema.

La pregunta ya no es quién lo permitió, sino cómo fue posible que tantos participaran, ignoraran o se beneficiaran.

Pensar este caso es cuestionar nuestras instituciones, nuestra indiferencia y los límites de la moral en una sociedad que prioriza la eficiencia sobre la ética.

Leer, incomodarse y reflexionar también es una forma de resistencia.

Columna de Gabriela Teherán.

🔗 Texto completo en el enlace de la bio.
🌎https://kairospoliticaysociedad.com/polifonias/

#epstein #epsteinfiles #archivosepstein #justicia",0,"03/21/2026 17:56",https://www.instagram.com/p/DWKtrfNFImN/,"Secuencia de Instagram",,Total,1071,412,36,7,0,0,1
18001232057910536,17841468818390769,revista_kairos,"Kairós: Política & Sociedad | Semillero de investigación","🔥 ¿Podrías defender una idea frente a quienes están entrenados para destruirla con argumentos?

⚖️ No es solo hablar… es pensar, refutar y persuadir.
💬 No gana quien grita más… gana quien argumenta mejor.

En el V Debate de Ética Pública, estudiantes de Derecho, Ciencia Política y Relaciones Internacionales se enfrentan en una batalla de ideas sobre los problemas más urgentes del país 🇨🇴

🧠 Argumentos
📊 Evidencia
🎯 Persuasión

Si quieres aprender a debatir como un verdadero profesional… este es tu escenario.

#Debate #ÉticaPública #PensamientoCrítico #Argumentación #CienciasPolíticas",0,"03/20/2026 18:21",https://www.instagram.com/reel/DWILhtLDB48/,"Reel de Instagram",,Total,1438,918,44,26,1,5,5
17957015730076797,17841468818390769,revista_kairos,"Kairós: Política & Sociedad | Semillero de investigación","📍 Colombia en disputa: más que una elección, una reconfiguración del poder

Las elecciones legislativas y las consultas interpartidistas de 2026 no solo redefinen la composición del Congreso: revelan un proceso más profundo de transformación del sistema político colombiano.

Entre coaliciones que desplazan a los partidos, un “centro” que opera como estrategia electoral y una creciente disputa por el votante medio, la competencia política se reorganiza bajo nuevas reglas.

Más que elegir representantes, Colombia enfrenta una redefinición de cómo se construye, se negocia y se ejerce el poder.

¿Estamos ante una recomposición del sistema de partidos o frente a una transformación del liderazgo político?",0,"03/20/2026 13:10",https://www.instagram.com/p/DWHoFSrlJ8S/,"Secuencia de Instagram",,Total,1137,398,34,5,0,5,2
17890896816441590,17841468818390769,revista_kairos,"Kairós: Política & Sociedad | Semillero de investigación","🎬 ¿Se puede domesticar una obra que nació para incomodar?

La nueva adaptación de ""Cumbres Borrascosas"" (2026), dirigida por Emerald Fennell, no intenta ser fiel al libro… sino al recuerdo que dejó. Pero aquí surge la gran pregunta:
👉 ¿adaptar es reinterpretar… o suavizar?

Entre la estética hipnótica, el romance intensificado y la pérdida de conflicto, esta versión nos obliga a pensar —con Susan Sontag como guía— si el arte debe ser explicado… o sentido.

📌 ¿Esta película reinterpreta… o neutraliza?

#cumbresborrascosas #jacobelordi #margotrobbie #emeraldfennell #moviescenes",0,"03/18/2026 13:45",https://www.instagram.com/p/DWCieuEFA8E/,"Secuencia de Instagram",,Total,1627,611,61,6,0,1,2
18106678672867346,17841468818390769,revista_kairos,"Kairós: Política & Sociedad | Semillero de investigación","Irán vuelve al centro del escenario global, pero esta vez no por una sola razón.

Protestas masivas, crisis económica, tensiones con Israel y presión internacional están convergiendo en un mismo punto. Lo que ocurre no es un evento aislado, sino una coyuntura donde se cruzan factores internos y disputas geopolíticas de gran escala.

En este carrusel analizo cómo se conectan tres dimensiones clave: el conflicto regional en Medio Oriente, la disputa estratégica por recursos energéticos —especialmente en torno al Estrecho de Ormuz— y el papel de la movilización social dentro de Irán, marcada por el movimiento Mujeres, Vida, Libertad.

Más que una crisis puntual, estamos ante un posible punto de inflexión.

¿Se trata de un episodio más de inestabilidad o del inicio de una transformación estructural en Irán?

Desliza y saca tus propias conclusiones.

#geopolitica #irán #mediooriente #relacionesinternacionales #analisispolitico",0,"03/17/2026 15:43",https://www.instagram.com/p/DWALN-alLFv/,"Secuencia de Instagram",,Total,1169,418,27,6,1,0,4
18094105421038540,17841468818390769,revista_kairos,"Kairós: Política & Sociedad | Semillero de investigación","¿Qué ocurre cuando una fecha política no cabe en el calendario?

Esta crónica narra una marcha del 8M que ocurrió ocho días después, cuando la agenda electoral parecía haber desplazado la conmemoración. Entre tambores, pancartas y grafitis, las calles volvieron a llenarse para recordar que el Día Internacional de la Mujer no se agota en una fecha simbólica, sino que nombra y representa una historia más larga de lucha, memoria y resistencia.

A través de escenas de la marcha —altares improvisados, consignas pintadas, carteles escritos a mano— el texto recorre tres emociones que atraviesan la movilización feminista contemporánea: duelo, rabia y solidaridad. Una memoria colectiva que insiste en ocupar el espacio público incluso cuando las instituciones parecen mirar hacia otro lado.

Cuando la política institucional intenta imponer su ritmo, ¿qué significa volver a marchar?
¿Puede una fecha histórica ser desplazada por el calendario electoral?

Una crónica sobre memoria, calle y feminismo.

🔗 Texto completo en el enlace de la bio
🌎 https://kairospoliticaysociedad.com/",0,"03/16/2026 18:15",https://www.instagram.com/p/DV933DzlFqw/,"Secuencia de Instagram",,Total,2055,861,50,9,0,0,2
18078910868456725,17841468818390769,revista_kairos,"Kairós: Política & Sociedad | Semillero de investigación","📍 Universidad, expectativas y futuro profesional

La graduación suele presentarse como un momento de triunfo. El diploma aparece como la señal de que comienza la vida profesional y de que el esfuerzo académico tendrá una recompensa clara en el futuro.

Sin embargo, cuando termina la celebración surge una pregunta que rara vez se menciona: ¿qué ocurre después de la universidad?

📚 Esta tensión aparece en el análisis de Pierre Bourdieu y Jean‑Claude Passeron en el libro Los herederos: los estudiantes y la cultura. Los autores señalan que la forma en que los estudiantes viven la universidad depende en gran medida de la claridad con la que logran imaginar su futuro. Cuando ese horizonte resulta difuso, la relación con los estudios se vuelve más ambigua.

🏛️ La educación superior no solo transmite conocimientos. También produce expectativas sobre el lugar que cada persona ocupará en la sociedad. Por eso, cuando esas expectativas se encuentran con un escenario laboral incierto, muchos egresados experimentan una sensación difícil de nombrar.

❓ Pregunta para ti:
¿Crees que la universidad realmente prepara para el futuro profesional o solo construye expectativas sobre él?",0,"03/16/2026 11:50",https://www.instagram.com/p/DV9Lx3ElJPu/,"Secuencia de Instagram",,Total,2079,872,46,11,1,3,2
18125972206600420,17841468818390769,revista_kairos,"Kairós: Política & Sociedad | Semillero de investigación","📚Jürgen Habermas es una de las figuras más influyentes de la filosofía y la teoría política contemporánea. Heredero de la Escuela de Frankfurt, su obra explora cómo el lenguaje, la comunicación y el debate público hacen posible la legitimidad democrática en las sociedades modernas.

Este carrusel recorre algunas de sus ideas centrales: la crítica a las crisis de legitimidad del capitalismo, la defensa de la modernidad como proyecto inacabado y su propuesta de una ética discursiva basada en el consenso racional.

#habermas #escueladefrankfurt #filosofiapolitica #democraciadeliberativa",0,"03/15/2026 19:47",https://www.instagram.com/p/DV7dhSwDvbp/,"Secuencia de Instagram",,Total,2982,1320,66,10,3,1,7
